ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete
1;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-03-22;2
2;1;Verão;Pasto 10;Pasto;Panicum;Setor_1A;2024-02-26;38
3;1;Outono;Pasto 11;Pasto;Braquiária;Setor_1A;2024-06-11;41
4;1;Verão;Pasto 10;Pasto;Mombaça;Setor_1A;2024-03-14;39
5;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-02-05;1
6;1;Verão;Pasto 10;Pasto;Braquiária;Setor_1C;2024-02-13;40
7;1;Outono;Pasto 15;Pasto;Braquiária;Setor_1C;2024-04-25;43
8;1;Verão;Pasto 08;Pasto;Braquiária;Setor_1A;2024-03-16;37
9;1;Outono;Pasto 11;Pasto;Mombaça;Setor_1C;2024-04-28;42
10;1;Verão;Pasto 10;Pasto;Braquiária;Setor_1A;2024-01-10;38
3005;1;Primavera;Pasto A;Pasto;Panicum;Setor_1C;2024-11-08;52
3008;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1A;2024-12-19;46
3012;1;Verão;Pasto B;Pasto + Suplemento;Braquiária;Setor_1A;2024-02-19;81
3021;1;Verão;Pasto B;Pasto;Panicum;Setor_1C;2024-03-25;91
3033;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-06-27;121
3044;1;Outono;Pasto C;Pasto;Braquiária;Setor_1A;2024-05-08;118
4001;1;Inverno;Piquete F;Pasto;Mombaça;Setor_1A;2024-08-05;152
4022;1;Inverno;Piquete F;Pasto + Suplemento;Mombaça;Setor_1A;2024-09-17;153
4055;1;Inverno;Piquete G;Pasto;Mombaça;Setor_1C;2024-07-14;155
4102;1;Inverno;Piquete G;Pasto + Suplemento;Braquiária;Setor_1A;2024-08-09;154
4198;1;Inverno;Piquete H;Pasto;Panicum;Setor_1C;2024-07-18;156
4210;1;Inverno;Piquete H;Pasto + Suplemento;Braquiária;Setor_1C;2024-09-24;157
4256;1;Inverno;Piquete I;Pasto + Suplemento;Panicum;Setor_1C;2024-07-21;159
4315;1;Inverno;Piquete I;Pasto;Mombaça;Setor_1A;2024-09-14;158
4333;1;Inverno;Piquete J;Pasto;Mombaça;Setor_1C;2024-09-16;161
4480;1;Inverno;Piquete J;Pasto;Panicum;Setor_1B;2024-07-12;160
4481;1;Inverno;Pasto B;Pasto;Braquiária;Setor_1C;2024-09-05;89
4482;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1C;2024-11-02;52
4483;1;Primavera;Pasto C;Pasto;Braquiária;Setor_1C;2024-12-14;127
4484;1;Primavera;Pasto C;Pasto;Braquiária;Setor_1C;2024-11-18;127
4485;3;Outono;Pasto A;Pasto;Braquiária;Setor_3B;2024-06-05;72
4486;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-05-08;3
4487;3;Inverno;Pasto A;Pasto;Mombaça;Setor_3B;2024-08-07;72
4488;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1C;2024-11-21;55
4489;1;Verão;Pasto B;Pasto;Panicum;Setor_1B;2024-01-15;84
4490;1;Outono;Pasto B;Pasto;Braquiária;Setor_1A;2024-05-03;80
4491;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-12-24;15
4492;2;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_2C;2024-04-02;101
4493;1;Inverno;Pasto B;Pasto + Suplemento;Mombaça;Setor_1B;2024-08-13;87
4494;1;Primavera;Pasto A;Pasto + Suplemento;Mombaça;Setor_1B;2024-12-20;49
4495;2;Verão;Pasto C;Pasto;Panicum;Setor_2B;2024-03-02;134
4496;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-10-07;28
4497;2;Inverno;Pasto C;Pasto;Panicum;Setor_2A;2024-09-24;130
4498;1;Outono;Pasto C;Pasto;Mombaça;Setor_1B;2024-06-18;121
4499;1;Outono;Pasto A;Pasto;Mombaça;Setor_1A;2024-04-16;46
4500;3;Outono;Pasto B;Pasto;Braquiária;Setor_3A;2024-04-28;105
4501;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-05-10;18
4502;2;Primavera;Pasto A;Pasto;Mombaça;Setor_2A;2024-10-07;58
4503;1;Inverno;Pasto A;Pasto;Panicum;Setor_1B;2024-07-24;50
4504;1;Inverno;Pasto C;Pasto + Suplemento;Braquiária;Setor_1B;2024-07-24;120
4505;3;Primavera;Pasto A;Pasto;Panicum;Setor_3C;2024-11-08;78
4506;3;Primavera;Pasto B;Pasto;Braquiária;Setor_3B;2024-12-20;108
4507;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-09-07;1
4508;3;Verão;Pasto C;Pasto;Mombaça;Setor_3C;2024-02-08;151
4509;2;Primavera;Pasto B;Pasto;Panicum;Setor_2B;2024-12-11;97
4510;1;Outono;Pasto B;Pasto;Braquiária;Setor_1C;2024-05-13;88
4511;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1A;2024-08-18;118
4512;3;Primavera;Pasto A;Pasto + Suplemento;Mombaça;Setor_3B;2024-12-12;72
4513;1;Verão;Pasto B;Pasto + Suplemento;Mombaça;Setor_1A;2024-02-09;80
4514;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-11-17;35
4515;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-02-15;31
4516;3;Primavera;Pasto B;Pasto + Suplemento;Mombaça;Setor_3C;2024-10-26;113
4517;2;Verão;Pasto A;Pasto + Suplemento;Panicum;Setor_2C;2024-03-16;67
4518;2;Primavera;Pasto B;Pasto;Braquiária;Setor_2B;2024-11-07;96
4519;3;Verão;Pasto C;Pasto + Suplemento;Mombaça;Setor_3C;2024-02-11;151
4520;3;Primavera;Pasto C;Pasto;Panicum;Setor_3A;2024-11-02;140
4521;1;Inverno;Pasto B;Pasto;Panicum;Setor_1C;2024-09-28;91
4522;1;Verão;Pasto A;Pasto;Panicum;Setor_1A;2024-01-24;47
4523;3;Outono;Pasto A;Pasto;Mombaça;Setor_3A;2024-04-01;71
4524;1;Primavera;Pasto A;Pasto;Mombaça;Setor_1C;2024-11-18;55
4525;2;Inverno;Pasto B;Pasto;Braquiária;Setor_2A;2024-09-19;93
4526;2;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_2B;2024-12-14;62
4527;1;Primavera;Pasto B;Pasto;Mombaça;Setor_1A;2024-11-05;80
4528;3;Outono;Pasto B;Pasto;Panicum;Setor_3A;2024-04-11;106
4529;1;Verão;Pasto A;Pasto;Panicum;Setor_1A;2024-01-13;46
4530;3;Outono;Pasto B;Pasto;Panicum;Setor_3B;2024-06-27;110
4531;1;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_1B;2024-07-16;86
4532;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-12-21;8
4533;2;Verão;Pasto C;Pasto;Panicum;Setor_2C;2024-03-11;136
4534;1;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_1B;2024-05-25;84
4535;1;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_1A;2024-05-24;81
4536;1;Verão;Pasto C;Pasto;Panicum;Setor_1B;2024-03-24;121
4537;2;Inverno;Pasto B;Pasto;Panicum;Setor_2B;2024-08-15;98
4538;1;Primavera;Pasto C;Pasto + Suplemento;Mombaça;Setor_1A;2024-10-24;116
4539;1;Verão;Pasto C;Pasto + Suplemento;Mombaça;Setor_1C;2024-02-06;126
4540;3;Inverno;Pasto A;Pasto + Suplemento;Panicum;Setor_3B;2024-07-24;73
4541;1;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_1C;2024-09-16;88
4542;1;Inverno;Pasto B;Pasto;Braquiária;Setor_1C;2024-07-18;90
4543;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-09-02;11
4544;3;Primavera;Pasto C;Pasto;Braquiária;Setor_3A;2024-12-02;140
4545;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-10-27;33
4546;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-06-02;12
4547;2;Inverno;Pasto A;Pasto;Braquiária;Setor_2A;2024-07-14;57
4548;2;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_2C;2024-04-27;103
4549;1;Verão;Pasto C;Pasto;Mombaça;Setor_1C;2024-03-08;125
4550;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-23;1
4551;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-10-01;14
4552;1;Verão;Pasto A;Pasto;Panicum;Setor_1B;2024-01-17;50
4553;1;Primavera;Pasto B;Pasto;Mombaça;Setor_1B;2024-11-12;85
4554;1;Verão;Pasto A;Pasto;Braquiária;Setor_1B;2024-01-20;51
4555;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-12-22;12
4556;3;Inverno;Pasto C;Pasto;Braquiária;Setor_3C;2024-09-16;148
4557;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-12-16;36
4558;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1A;2024-10-01;45
4559;2;Outono;Pasto A;Pasto;Braquiária;Setor_2C;2024-06-18;66
4560;3;Outono;Pasto C;Pasto + Suplemento;Panicum;Setor_3B;2024-05-01;145
4561;2;Inverno;Pasto C;Pasto;Braquiária;Setor_2A;2024-07-17;128
4562;2;Primavera;Pasto B;Pasto;Panicum;Setor_2A;2024-12-09;94
4563;1;Inverno;Pasto C;Pasto + Suplemento;Braquiária;Setor_1A;2024-09-10;117
4564;2;Outono;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-04-17;99
4565;2;Outono;Pasto A;Pasto;Mombaça;Setor_2B;2024-06-22;62
4566;1;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_1B;2024-05-26;122
4567;3;Inverno;Pasto B;Pasto;Panicum;Setor_3A;2024-07-04;106
4568;3;Inverno;Pasto C;Pasto;Mombaça;Setor_3A;2024-07-17;140
4569;3;Inverno;Pasto B;Pasto;Braquiária;Setor_3C;2024-07-08;113
4570;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-07-20;9
4571;1;Inverno;Pasto A;Pasto;Braquiária;Setor_1B;2024-09-09;48
4572;2;Outono;Pasto B;Pasto;Braquiária;Setor_2A;2024-05-09;92
4573;1;Verão;Pasto B;Pasto;Panicum;Setor_1C;2024-02-03;88
4574;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-05-13;17
4575;3;Outono;Pasto C;Pasto;Panicum;Setor_3B;2024-05-19;147
4576;2;Verão;Pasto A;Pasto;Mombaça;Setor_2C;2024-01-23;67
4577;1;Inverno;Pasto A;Pasto;Panicum;Setor_1B;2024-07-10;48
4578;2;Verão;Pasto A;Pasto + Suplemento;Panicum;Setor_2A;2024-03-27;59
4579;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-04-21;7
4580;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-09-25;14
4581;3;Outono;Pasto C;Pasto;Braquiária;Setor_3A;2024-04-03;143
4582;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-08-13;9
4583;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-05-18;21
4584;2;Verão;Pasto B;Pasto;Braquiária;Setor_2C;2024-02-02;100
4585;3;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_3B;2024-09-01;108
4586;2;Outono;Pasto A;Pasto;Braquiária;Setor_2C;2024-06-06;64
4587;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-07-16;24
4588;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-02-21;17
4589;2;Verão;Pasto A;Pasto;Braquiária;Setor_2C;2024-02-19;64
4590;3;Verão;Pasto C;Pasto;Braquiária;Setor_3B;2024-01-17;147
4591;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-10-08;6
4592;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-10-28;13
4593;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2A;2024-12-19;131
4594;1;Primavera;Pasto B;Pasto + Suplemento;Mombaça;Setor_1C;2024-11-09;90
4595;1;Inverno;Pasto C;Pasto + Suplemento;Mombaça;Setor_1B;2024-07-03;120
4596;3;Outono;Pasto C;Pasto;Mombaça;Setor_3A;2024-06-09;143
4597;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-09-19;13
4598;1;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_1A;2024-06-02;81
4599;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-04-28;13
4600;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-02-01;33
4601;3;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_3A;2024-04-19;140
4602;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1C;2024-07-25;124
