ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;confiabilidade_dados%;itu_media;itu_dp;itu_max;itu_min;itu_leituras_criticas
1;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-03-22;2;114.3;75.37;6.82;87.31;57.61;97
2;1;Verão;Pasto 10;Pasto;Panicum;Setor_1A;2024-02-26;38;114.3;77.56;5.64;86.99;66.56;121
3;1;Outono;Pasto 11;Pasto;Braquiária;Setor_1A;2024-06-11;41;114.3;68.62;5.72;78.72;56.02;34
4;1;Verão;Pasto 10;Pasto;Mombaça;Setor_1A;2024-03-14;39;114.3;77.74;5.64;87.73;66.23;121
5;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-02-05;1;114.3;77.59;5.74;88.79;65.71;122
6;1;Verão;Pasto 10;Pasto;Braquiária;Setor_1C;2024-02-13;40;114.3;77.6;5.9;87.38;65.12;120
7;1;Outono;Pasto 15;Pasto;Braquiária;Setor_1C;2024-04-25;43;114.3;68.33;5.71;77.29;56.85;24
8;1;Verão;Pasto 08;Pasto;Braquiária;Setor_1A;2024-03-16;37;114.3;77.91;5.59;88.44;67.07;125
9;1;Outono;Pasto 11;Pasto;Mombaça;Setor_1C;2024-04-28;42;114.3;68.3;5.78;78.06;55.79;29
10;1;Verão;Pasto 10;Pasto;Braquiária;Setor_1A;2024-01-10;38;114.3;77.57;5.56;87.88;65.31;120
3005;1;Primavera;Pasto A;Pasto;Panicum;Setor_1C;2024-11-08;52;114.3;71.97;5.53;81.69;60.11;76
3008;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1A;2024-12-19;46;114.3;71.78;5.53;81.66;60.96;68
3012;1;Verão;Pasto B;Pasto + Suplemento;Braquiária;Setor_1A;2024-02-19;81;114.3;77.64;5.66;87.77;66.42;126
3021;1;Verão;Pasto B;Pasto;Panicum;Setor_1C;2024-03-25;91;114.3;71.96;7.28;88.15;58.08;62
3033;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-06-27;121;114.3;62.87;5.65;76.64;52.14;4
3044;1;Outono;Pasto C;Pasto;Braquiária;Setor_1A;2024-05-08;118;114.3;68.44;5.56;78.72;58.27;24
4001;1;Inverno;Piquete F;Pasto;Mombaça;Setor_1A;2024-08-05;152;114.3;62.09;5.17;71.48;51.91;0
4022;1;Inverno;Piquete F;Pasto + Suplemento;Mombaça;Setor_1A;2024-09-17;153;114.3;61.85;4.97;70.38;52.06;0
4055;1;Inverno;Piquete G;Pasto;Mombaça;Setor_1C;2024-07-14;155;114.3;61.93;5.02;70.29;50.09;0
4102;1;Inverno;Piquete G;Pasto + Suplemento;Braquiária;Setor_1A;2024-08-09;154;114.3;61.97;5.09;71.2;51.99;0
