ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;confiabilidade_dados%;itu_media;itu_dp;itu_max;itu_min;itu_leituras_criticas
1;1;1;1;4;1;1;20240322;2;114.3;75.37;6.82;87.31;-0.20566724258655245;97
2;1;1;2;1;2;1;20240226;38;114.3;77.56;5.64;86.99;1.5411790583507272;121
3;1;2;3;1;3;1;20240611;41;114.3;68.62;5.72;78.72;-0.5160008312446829;34
4;1;1;2;1;4;1;20240314;39;114.3;77.74;5.64;87.73;1.4767702003273417;121
5;1;1;1;4;1;1;20240205;1;114.3;77.59;5.74;88.79;1.3752774543510957;122
6;1;1;2;1;3;2;20240213;40;114.3;77.6;5.9;87.38;1.26012222333959;120
7;1;2;4;1;3;2;20240425;43;114.3;68.33;5.71;77.29;-0.3540027943979858;24
8;1;1;5;1;3;1;20240316;37;114.3;77.91;5.59;88.44;1.6407200207505033;125
9;1;2;3;1;4;2;20240428;42;114.3;68.3;5.78;78.06;-0.560891853503407;29
10;1;1;2;1;3;1;20240110;38;114.3;77.57;5.56;87.88;1.297206111292448;120
3005;1;4;6;1;2;2;20241108;52;114.3;71.97;5.53;81.69;0.282278651530006;76
3008;1;4;6;2;3;1;20241219;46;114.3;71.78;5.53;81.66;0.4481802555296361;68
3012;1;1;7;2;3;1;20240219;81;114.3;77.64;5.66;87.77;1.5138540882801998;126
3021;1;1;7;1;2;2;20240325;91;114.3;71.96;7.28;88.15;-0.11393341449263969;62
3033;1;2;8;1;2;3;20240627;121;114.3;62.87;5.65;76.64;-1.273292858913582;4
3044;1;2;8;1;3;1;20240508;118;114.3;68.44;5.56;78.72;-0.0768495265397803;24
4001;1;3;9;1;4;1;20240805;152;114.3;62.09;5.17;71.48;-1.3181838811723061;0
4022;1;3;9;2;4;1;20240917;153;114.3;61.85;4.97;70.38;-1.2889071275253114;0
4055;1;3;10;1;4;2;20240714;155;114.3;61.93;5.02;70.29;-1.6734084920891592;0
4102;1;3;10;2;3;1;20240809;154;114.3;61.97;5.09;71.2;-1.3025696125605752;0
4198;1;3;11;1;2;2;20240718;156;114.3;62.03;5.17;72.63;-1.435290895760279;0
4210;1;3;11;2;3;2;20240924;157;114.3;64.35;6.78;79.63;-1.3006178289841093;16
4256;1;3;12;2;2;2;20240721;159;114.3;61.98;5.16;70.27;-1.111294822066885;0
4315;1;3;12;1;4;1;20240914;158;114.3;61.9;5.35;71.04;-1.273292858913582;0
4333;1;3;13;1;4;2;20240916;161;114.3;61.93;5.06;70.66;-1.4157730599956178;0
4480;1;3;13;1;2;3;20240712;160;114.3;62.09;4.96;71.23;-1.2713410753371162;0
4481;1;3;7;1;3;2;20240905;89;114.3;61.9;5.12;70.27;-1.230353620231325;0
4482;1;4;6;2;3;2;20241102;52;114.3;71.99;5.65;83.02;0.3681571288945198;74
4483;1;4;8;1;3;2;20241214;127;114.3;71.82;5.59;81.71;0.5242998150118193;74
4484;1;4;8;1;3;2;20241118;127;114.3;72.05;5.62;81.82;0.4598909569884339;79
4485;3;2;6;1;3;4;20240605;72;114.3;68.4;5.71;77.89;-0.17834227251602505;30
4486;1;2;1;4;1;1;20240508;3;114.3;68.61;5.76;77.97;-0.29544928710399937;32
4487;3;3;6;1;4;4;20240807;72;114.3;61.98;5.13;70.01;-1.5582532610776523;0
4488;1;4;6;1;3;2;20241121;55;114.3;71.91;5.48;81.23;0.4403731212237713;72
4489;1;1;7;1;2;3;20240115;84;114.3;77.61;5.67;90.21;1.4299273944921504;119
4490;1;2;7;1;3;1;20240503;80;114.3;68.37;5.51;78.3;-0.34229209293918933;23
4491;2;4;1;4;1;5;20241224;15;114.3;74.72;6.26;87.17;0.6823942847055833;93
4492;2;2;7;2;3;6;20240402;101;114.3;68.47;5.52;77.71;-0.24470291411587766;23
4493;1;3;7;2;4;3;20240813;87;114.3;61.99;5.09;71.77;-1.1308126578315476;0
4494;1;4;6;2;4;3;20241220;49;114.3;71.91;5.52;82.12;0.4579391734119667;71
4495;2;1;8;1;2;7;20240302;134;114.3;77.6;5.81;86.76;1.6758521251268967;121
4496;3;4;1;4;1;8;20241007;28;114.3;71.94;5.71;82.74;0.0968592117657132;75
4497;2;3;8;1;2;5;20240924;130;114.3;64.4;6.84;81.23;-1.267437508184183;15
4498;1;2;8;1;4;3;20240618;121;114.3;68.49;5.5;77.22;-0.06904239223391553;30
4499;1;2;6;1;4;1;20240416;46;114.3;68.35;5.66;79.09;-0.3793759808920473;20
4500;3;2;7;1;3;8;20240428;105;114.3;68.61;5.73;78.41;-0.1607762203278283;28
4501;2;2;1;4;1;7;20240510;18;114.3;68.44;5.29;77.68;-0.04757277289278708;20
4502;2;4;6;1;4;5;20241007;58;114.3;72.07;5.65;81.87;0.23543584569481596;75
4503;1;3;6;1;2;3;20240724;50;114.3;61.89;5.14;71.39;-1.4743265672896042;0
4504;1;3;8;2;3;3;20240724;120;114.3;61.79;5.11;70.73;-1.3552677691251642;0
4505;3;4;6;1;2;9;20241108;78;114.3;71.88;5.35;82.24;0.6843460682820505;71
4506;3;4;7;1;3;4;20241220;108;114.3;72.08;5.58;82.4;0.4481802555296361;71
4507;1;3;1;4;1;1;20240907;1;114.3;61.87;5.28;70.97;-1.1991250830078646;0
4508;3;1;8;1;4;9;20240208;151;114.3;77.69;5.65;88.75;1.53922727477426;116
4509;2;4;7;1;2;7;20241211;97;114.3;71.8;5.65;81.21;0.282278651530006;72
4510;1;2;7;1;3;2;20240513;88;114.3;68.49;5.42;77.59;-0.12564411595143615;22
4511;1;3;8;1;3;1;20240818;118;114.3;61.85;5.19;70.46;-1.1796072472432033;0
4512;3;4;6;2;4;4;20241212;72;114.3;71.96;5.56;81.76;0.4345177704943724;74
4513;1;1;7;2;4;1;20240209;80;114.3;77.9;5.8;88.18;1.3889399393863606;125
4514;3;4;1;4;1;9;20241117;35;114.3;71.87;5.55;81.5;0.4657463077178315;68
4515;3;1;1;4;1;4;20240215;31;114.3;77.5;5.91;87.51;1.2854954098336502;120
4516;3;4;7;2;4;9;20241026;113;114.3;71.97;5.75;81.59;0.34668750955339134;73
4517;2;1;6;2;2;6;20240316;67;114.3;77.59;5.77;88.2;1.2640257904925216;121
4518;2;4;7;1;3;7;20241107;96;114.3;71.76;5.64;81.97;0.407192800423845;70
4519;3;1;8;2;4;9;20240211;151;114.3;77.89;5.68;88.75;1.390891722962828;119
4520;3;4;8;1;2;8;20241102;140;114.3;71.99;5.41;81.56;0.4774570091766293;71
4521;1;3;7;1;2;2;20240928;91;114.3;69.29;7.07;81.03;-1.185462597972601;57
4522;1;1;6;1;2;1;20240124;47;114.3;77.47;5.65;87.75;1.570455811997719;118
4523;3;2;6;1;4;8;20240401;71;114.3;68.42;5.62;78.95;-0.221281511198282;29
4524;1;4;6;1;4;2;20241118;55;114.3;71.91;5.43;81.23;0.5633354865411432;70
4525;2;3;7;1;3;5;20240919;93;114.3;61.96;5.05;71.17;-1.519217589548327;0
4526;2;4;6;2;3;7;20241214;62;114.3;71.84;5.57;81.15;0.5008784120942236;70
4527;1;4;7;1;4;1;20241105;80;114.3;71.87;5.55;82.8;0.5535765686588126;71
4528;3;2;7;1;2;8;20240411;106;114.3;68.44;5.46;78.64;-0.1510173024454977;24
4529;1;1;6;1;2;1;20240113;46;114.3;77.51;5.86;88.58;1.5060469539743335;121
4530;3;2;7;1;2;4;20240627;110;114.3;62.64;5.46;76.04;-1.4899408359013337;3
4531;1;3;7;2;3;3;20240716;86;114.3;61.97;4.93;70.82;-1.158137627902075;0
4532;1;4;1;4;1;3;20241221;8;114.3;72.6;5.96;87.73;0.4735534420236976;80
4533;2;1;8;1;2;6;20240311;136;114.3;77.52;5.62;87.47;1.1996169324691364;122
4534;1;2;7;2;3;3;20240525;84;114.3;68.31;5.63;78.88;-0.08075309369271338;28
4535;1;2;7;2;3;1;20240524;81;114.3;68.49;5.74;79.95;-0.08660844442211231;27
4536;1;1;8;1;2;3;20240324;121;114.3;73.13;7.33;88.73;-0.3813277644685132;73
4537;2;3;7;1;2;7;20240815;98;114.3;62.0;5.12;70.42;-1.2088840008901967;0
4538;1;4;8;2;4;1;20241024;116;114.3;71.88;5.49;81.83;0.5555283522352784;67
4539;1;1;8;2;4;2;20240206;126;114.3;77.39;5.78;87.34;1.289398976986582;122
4540;3;3;6;2;2;4;20240724;73;114.3;61.98;5.05;70.84;-1.2889071275253114;0
4541;1;3;7;2;3;2;20240916;88;114.3;61.92;5.1;70.48;-1.2225464859254602;0
4542;1;3;7;1;3;2;20240718;90;114.3;61.74;5.3;69.94;-1.6753602756656265;0
4543;1;3;1;4;1;2;20240902;11;114.3;62.03;5.02;70.56;-1.193269732278467;0
4544;3;4;8;1;3;8;20241202;140;114.3;71.85;5.55;81.11;0.4852641434824941;70
4545;3;4;1;4;1;9;20241027;33;114.3;71.74;5.53;80.9;0.5633354865411432;73
4546;1;2;1;4;1;2;20240602;12;114.3;68.44;5.6;77.91;-0.2603171827276072;26
4547;2;3;6;1;3;5;20240714;57;114.3;61.94;5.27;71.51;-1.6519388727480309;0
4548;2;2;7;2;3;6;20240427;103;114.3;68.71;5.61;77.78;-0.08660844442211231;32
4549;1;1;8;1;4;2;20240308;125;114.3;77.92;5.6;86.96;1.4923844689390713;126
4550;1;1;1;4;1;1;20240123;1;114.3;77.69;5.74;89.03;1.4065059915745575;119
4551;2;4;1;4;1;5;20241001;14;114.3;71.79;5.52;81.27;0.007077167248267682;72
4552;1;1;6;1;2;3;20240117;50;114.3;77.69;5.71;89.87;1.4318791780686175;122
4553;1;4;7;1;4;3;20241112;85;114.3;71.63;5.74;81.55;0.22177336065955228;71
4554;1;1;6;1;3;3;20240120;51;114.3;77.57;5.82;87.35;1.0649438656929666;124
4555;1;4;1;4;1;2;20241222;12;114.3;73.29;6.19;87.3;0.286182218682939;85
4556;3;3;8;1;3;9;20240916;148;114.3;61.99;5.13;71.75;-1.2030286501607976;0
4557;3;4;1;4;1;9;20241216;36;114.3;72.04;5.61;81.49;0.14175023402443734;77
4558;1;4;6;2;3;1;20241001;45;114.3;71.84;5.47;81.99;0.4403731212237713;69
4559;2;2;6;1;3;6;20240618;66;114.3;68.53;5.58;78.64;-0.3169189064451278;26
4560;3;2;8;2;2;4;20240501;145;114.3;68.6;5.55;78.78;-0.010488884939929086;27
4561;2;3;8;1;3;5;20240717;128;114.3;61.86;5.04;70.56;-1.7202512979243494;0
4562;2;4;7;1;2;5;20241209;94;114.3;71.91;5.78;81.84;0.3505910767063244;72
4563;1;3;8;2;3;1;20240910;117;114.3;62.11;4.99;71.71;-1.3025696125605752;0
4564;2;2;7;2;2;7;20240417;99;114.3;68.58;5.61;78.05;-0.14906551886903183;31
4565;2;2;6;1;4;7;20240622;62;114.3;66.91;5.94;78.66;-1.2010768665843319;15
4566;1;2;8;2;3;3;20240526;122;114.3;68.42;5.59;78.95;-0.3013046378333983;24
4567;3;3;7;1;2;8;20240704;106;114.3;62.02;4.99;72.98;-1.1952215158549329;0
4568;3;3;8;1;4;8;20240717;140;114.3;61.98;5.19;71.15;-1.4665194329837394;0
4569;3;3;7;1;3;9;20240708;113;114.3;62.04;5.09;71.03;-1.226450053078392;0
4570;1;3;1;4;1;2;20240720;9;114.3;61.99;5.14;71.47;-1.519217589548327;0
4571;1;3;6;1;3;3;20240909;48;114.3;62.02;5.13;70.6;-1.4762783508660702;0
4572;2;2;7;1;3;5;20240509;92;114.3;68.42;5.61;78.74;-0.29935285425693103;26
4573;1;1;7;1;2;2;20240203;88;114.3;77.38;5.78;86.81;1.2854954098336502;118
4574;2;2;1;4;1;7;20240513;17;114.3;68.44;5.59;79.69;-0.32277425717452674;23
4575;3;2;8;1;2;4;20240519;147;114.3;68.49;5.6;77.59;-0.09831914588091015;28
4576;2;1;6;1;4;6;20240123;67;114.3;77.58;5.77;87.44;1.3011096784453797;121
4577;1;3;6;1;2;3;20240710;48;114.3;61.99;4.99;70.64;-1.279148209642981;0
4578;2;1;6;2;2;5;20240327;59;114.3;69.74;6.44;86.77;-0.26617253345700614;40
4579;1;2;1;4;1;3;20240421;7;114.3;68.51;5.58;78.2;-0.5218561819740818;22
4580;2;3;1;4;1;5;20240925;14;114.3;65.63;7.05;80.75;-1.0722591505375596;26
4581;3;2;8;1;3;8;20240403;143;114.3;68.66;5.59;78.1;0.012932517977665217;23
4582;1;3;1;4;1;2;20240813;9;114.3;61.9;5.17;70.13;-1.4021105749603542;0
4583;2;2;1;4;1;6;20240518;21;114.3;68.49;5.52;78.73;-0.02219958639872693;22
4584;2;1;7;1;3;6;20240202;100;114.3;77.69;5.73;87.65;1.4865291182096725;118
4585;3;3;7;2;3;4;20240901;108;114.3;62.0;4.96;69.78;-1.3786891720427585;0
4586;2;2;6;1;3;6;20240606;64;114.3;68.7;5.31;77.81;-0.07880131011624754;26
4587;2;3;1;4;1;6;20240716;24;114.3;61.86;5.14;70.7;-1.158137627902075;0
4588;2;1;1;4;1;7;20240221;17;114.3;77.67;5.67;87.69;1.3772292379275628;124
4589;2;1;6;1;3;6;20240219;64;114.3;77.71;5.67;87.34;1.172291962398609;118
4590;3;1;8;1;3;4;20240117;147;114.3;77.75;5.67;87.6;1.578262946303585;124
4591;1;4;1;4;1;3;20241008;6;114.3;72.01;5.4;81.08;0.5652872701176104;70
4592;2;4;1;4;1;5;20241028;13;114.3;72.06;5.64;81.67;0.7136228219290437;79
4593;2;4;8;1;3;5;20241219;131;114.3;71.87;5.59;80.81;0.5711426208470093;69
4594;1;4;7;2;4;2;20241109;90;114.3;71.99;5.53;82.19;0.7097192547761106;71
4595;1;3;8;2;4;3;20240703;120;114.3;62.03;5.07;70.27;-1.2693892917606502;0
4596;3;2;8;1;4;8;20240609;143;114.3;68.42;5.72;78.48;-0.14125838456316706;28
4597;2;3;1;4;1;5;20240919;13;114.3;62.04;5.17;70.96;-1.183510814396135;0
4598;1;2;7;2;4;1;20240602;81;114.3;68.46;5.68;77.33;-0.12564411595143615;29
4599;2;2;1;4;1;5;20240428;13;114.3;68.56;5.5;77.44;-0.11393341449263969;23
4600;3;1;1;4;1;9;20240201;33;114.3;77.51;5.63;89.04;1.3635667528923006;119
4601;3;2;8;2;3;8;20240419;140;114.3;68.57;5.69;79.35;-0.08075309369271338;29
4602;1;3;8;1;4;2;20240725;124;114.3;61.93;4.98;70.23;-1.5036033209365975;0
4603;3;2;1;4;1;4;20240627;32;114.3;62.93;5.54;77.41;-0.9766217552907153;4
4604;1;1;6;2;3;2;20240203;53;114.3;77.68;5.62;87.85;1.5294683568919294;122
4605;1;2;8;1;4;1;20240506;116;114.3;68.36;5.37;77.14;-0.46330267468009534;26
4606;2;3;7;2;2;7;20240908;97;114.3;62.05;5.01;71.27;-1.2635339410312514;0
4607;1;3;6;2;4;3;20240927;49;114.3;68.17;7.21;81.38;-1.2049804337372636;44
4608;2;2;1;4;1;6;20240522;21;114.3;68.5;5.61;78.73;-0.32862960790392565;27
4609;1;1;1;4;1;3;20240311;5;114.3;77.44;5.79;87.02;1.1508223430574804;121
4610;3;1;7;1;4;9;20240225;114;114.3;77.68;5.44;87.83;1.2386526039984616;122
4611;1;4;1;4;1;3;20241205;6;114.3;72.12;5.54;81.69;0.15931628621263275;75
4612;2;4;6;1;3;6;20241224;66;114.3;74.76;6.16;86.66;0.6023711580704684;96
4613;3;3;6;1;4;8;20240717;68;114.3;62.17;5.13;70.53;-1.261582157454784;0
