ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;confiabilidade_dados%;itu_media;itu_dp;itu_max;itu_min;itu_leituras_criticas
1;1;1;1;4;1;1;20240322;2;114.3;75.37;6.82;87.31;-0.9371417658180198;133
2;1;1;2;1;2;1;20240226;38;114.3;77.56;5.64;86.99;0.8794964850096355;145
3;1;2;3;1;3;1;20240611;41;114.3;68.62;5.72;78.72;-1.2598741478086302;72
4;1;1;2;1;4;1;20240314;39;114.3;77.74;5.64;87.73;0.8125142925210184;150
5;1;1;1;4;1;1;20240205;1;114.3;77.59;5.74;88.79;0.7069665952662252;144
6;1;1;2;1;3;2;20240213;40;114.3;77.6;5.9;87.38;0.5872105541502144;151
7;1;2;4;1;3;2;20240425;43;114.3;68.33;5.71;77.29;-1.091403784882714;70
8;1;1;5;1;3;1;20240316;37;114.3;77.91;5.59;88.44;0.9830144188556788;151
9;1;2;3;1;4;2;20240428;42;114.3;68.3;5.78;78.06;-1.3065587062097888;66
10;1;1;2;1;3;1;20240110;38;114.3;77.57;5.56;87.88;0.6257760589163877;148
