ID_Animal;Local / Fazenda;Pilar de Validação;Alerta Técnico;Ação Necessária (Simples)
0;Pedigree;Pilar 1: Pedigree;Conflito de Sexagem Biológica;Este animal aparece como PAI de alguns animais e MÃE de outros (ex: para os animais ['3005', '3008', '3012']). Corrija a genealogia urgente.
1;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 122.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
2;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 105.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
3;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 141.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
4;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 110.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
5;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 122.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
6;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 105.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
7;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 134.0 tem apenas 1 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
8;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 118.0 tem apenas 1 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
9;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 141.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
10;N/A;Pilar 3: GCs;Micro-Grupo Contemporâneo (GC: 110.0 tem apenas 2 animais);Lote muito pequeno (menos de 3 animais). É impossível comparar geneticamente quem é melhor ou pior num grupo tão pequeno. Tente reagrupar.
