ID_Animal;GC;PN_kg;PD_kg;PS_kg;GPD_g-dia;PE_cm;AOL_cm2;EGS_mm;MAR_%;CAR_kg-dia;PREC_SEX;IPP_dias;PROB_3P_%;STAY_%;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;confiabilidade_dados%;itu_media;itu_dp;itu_max;itu_min;itu_leituras_criticas;Sexo;Geracao;Raca;Data_Nascimento
1;122;2;2;3;3;2;3;4.2;3.5;-0.5;0;-999;28.21;0;1;1;1;4;1;1;20240322;2;114.3;75.37;6.82;87.31;-0.20566724258655245;133;1;1;1;20200101
2;105;4;4;4;4;3;4;5.1;4.2;0.12;0;-999;72.98;0;1;1;2;1;2;1;20240226;38;114.3;77.56;5.64;86.99;1.5411790583507272;145;1;1;1;20200101
3;141;1;1;1;2;1;1;3.8;3.1;-0.85;0;-999;83.38;0;1;2;3;1;3;1;20240611;41;114.3;68.62;5.72;78.72;-0.5160008312446829;72;1;1;1;20200101
4;110;4;4;4;4;4;4;6.2;4.8;0.45;0;-999;60.84;0;1;1;2;1;4;1;20240314;39;114.3;77.74;5.64;87.73;1.4767702003273417;150;1;1;1;20200101
5;122;3;3;3;3;1;2;4.5;3.8;-0.1;0;-999;57.79;0;1;1;1;4;1;1;20240205;1;114.3;77.59;5.74;88.79;1.3752774543510957;144;1;1;1;20200101
6;105;2;2;2;2;1;2;4.0;3.2;-0.32;0;-999;70.2;0;1;1;2;1;3;2;20240213;40;114.3;77.6;5.9;87.38;1.26012222333959;151;1;1;1;20200101
7;134;3;3;4;3;2;4;4.8;4.0;0.05;0;-999;72.35;0;1;2;4;1;3;2;20240425;43;114.3;68.33;5.71;77.29;-0.3540027943979858;70;1;1;1;20200101
9;141;1;1;2;2;1;2;3.9;3.3;0.22;0;-999;48.23;0;1;2;3;1;4;2;20240428;42;114.3;68.3;5.78;78.06;-0.560891853503407;66;1;1;1;20200101
10;110;2;3;3;3;2;3;4.4;3.7;-0.41;0;-999;69.31;0;1;1;2;1;3;1;20240110;38;114.3;77.57;5.56;87.88;1.297206111292448;148;1;1;1;20200101
3005;90;3;3;4;3;3;4;5.1;3.8;-0.12;0;-999;68.11;0;1;4;6;1;2;2;20241108;52;114.3;71.97;5.53;81.69;0.282278651530006;100;1;0;1;20200101
3008;90;2;2;3;3;2;3;4.2;3.5;-0.05;0;-999;28.91;0;1;4;6;2;3;1;20241219;46;114.3;71.78;5.53;81.66;0.4481802555296361;100;1;0;1;20200101
3012;91;3;3;3;3;2;3;4.5;3.6;-0.1;0;-999;32.83;0;1;1;7;2;3;1;20240219;81;114.3;77.64;5.66;87.77;1.5138540882801998;150;1;0;1;20200101
3021;91;4;4;4;4;4;4;5.8;4.2;0.05;0;-999;22.88;0;1;1;7;1;2;2;20240325;91;114.3;71.96;7.28;88.15;-0.11393341449263969;102;1;0;1;20200101
