ID_Animal;GC;PN_kg;PD_kg;PS_kg;GPD_g-dia;PE_cm;AOL_cm2;EGS_mm;MAR_%;CAR_kg-dia;REND;PREC_SEX;IPP_dias;PROB_3P_%;STAY_%;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;confiabilidade_dados%;itu_media;itu_dp;itu_max;itu_min;itu_leituras_criticas;Sexo;Geracao;Raca;Data_Nascimento
1;122;2;2;3;3;2;3;4.2;3.5;-0.5;54.78;0;-999;28.21;0;1;1;1;4;1;1;20240322;2;114.3;75.37;6.82;87.31;-0.20566724258655245;109;1;1;1;20200101
2;105;4;4;4;4;3;4;5.1;4.2;0.12;55.07;0;-999;72.98;0;1;1;2;1;2;1;20240226;38;114.3;77.56;5.64;86.99;1.5411790583507272;133;1;1;1;20200101
3;141;1;1;1;2;1;1;3.8;3.1;-0.85;54.24;0;-999;83.38;0;1;2;3;1;3;1;20240611;41;114.3;68.62;5.72;78.72;-0.5160008312446829;48;1;1;1;20200101
4;110;4;4;4;4;4;4;6.2;4.8;0.45;56.4;0;-999;60.84;0;1;1;2;1;4;1;20240314;39;114.3;77.74;5.64;87.73;1.4767702003273417;128;1;1;1;20200101
5;122;3;3;3;3;1;2;4.5;3.8;-0.1;54.39;0;-999;57.79;0;1;1;1;4;1;1;20240205;1;114.3;77.59;5.74;88.79;1.3752774543510957;126;1;1;1;20200101
6;105;2;2;2;2;1;2;4.0;3.2;-0.32;54.05;0;-999;70.2;0;1;1;2;1;3;2;20240213;40;114.3;77.6;5.9;87.38;1.26012222333959;129;1;1;1;20200101
7;134;3;3;4;3;2;4;4.8;4.0;0.05;55.65;0;-999;72.35;0;1;2;4;1;3;2;20240425;43;114.3;68.33;5.71;77.29;-0.3540027943979858;44;1;1;1;20200101
9;141;1;1;2;2;1;2;3.9;3.3;0.22;53.91;0;-999;48.23;0;1;2;3;1;4;2;20240428;42;114.3;68.3;5.78;78.06;-0.560891853503407;46;1;1;1;20200101
10;110;2;3;3;3;2;3;4.4;3.7;-0.41;54.9;0;-999;69.31;0;1;1;2;1;3;1;20240110;38;114.3;77.57;5.56;87.88;1.297206111292448;130;1;1;1;20200101
3005;90;3;3;4;3;3;4;5.1;3.8;-0.12;54.87;0;-999;68.11;0;1;4;6;1;2;2;20241108;52;114.3;71.97;5.53;81.69;0.282278651530006;86;1;0;1;20200101
3008;90;2;2;3;3;2;3;4.2;3.5;-0.05;54.31;0;-999;28.91;0;1;4;6;2;3;1;20241219;46;114.3;71.78;5.53;81.66;0.4481802555296361;81;1;0;1;20200101
3012;91;3;3;3;3;2;3;4.5;3.6;-0.1;54.88;0;-999;32.83;0;1;1;7;2;3;1;20240219;81;114.3;77.64;5.66;87.77;1.5138540882801998;128;1;0;1;20200101
3021;91;4;4;4;4;4;4;5.8;4.2;0.05;54.68;0;-999;22.88;0;1;1;7;1;2;2;20240325;91;114.3;71.96;7.28;88.15;-0.11393341449263969;78;1;0;1;20200101
3033;92;2;2;2;2;2;2;3.9;3.2;-0.2;53.48;0;-999;36.22;0;1;2;8;1;2;3;20240627;121;114.3;62.87;5.65;76.64;-1.273292858913582;7;1;0;1;20200101
3044;92;3;3;3;3;3;4;4.7;3.7;0.15;54.63;0;-999;49.97;0;1;2;8;1;3;1;20240508;118;114.3;68.44;5.56;78.72;-0.0768495265397803;43;1;0;1;20200101
4001;95;1;1;1;1;-999;1;3.5;3.0;0.02;53.19;1;1018;29.45;1;1;3;9;1;4;1;20240805;152;114.3;62.09;5.17;71.48;-1.3181838811723061;0;2;0;1;20200101
4022;95;2;1;1;2;-999;1;3.8;3.1;-0.08;54.06;0;1063;46.85;1;1;3;9;2;4;1;20240917;153;114.3;61.85;4.97;70.38;-1.2889071275253114;0;2;0;1;20200101
4055;96;1;1;1;1;-999;1;3.4;2.9;0.1;53.14;0;942;72.16;0;1;3;10;1;4;2;20240714;155;114.3;61.93;5.02;70.29;-1.6734084920891592;0;2;0;1;20200101
4102;96;2;2;2;2;-999;2;4.0;3.3;-0.15;53.5;1;1052;84.79;0;1;3;10;2;3;1;20240809;154;114.3;61.97;5.09;71.2;-1.3025696125605752;0;2;0;1;20200101
4198;97;1;1;1;1;-999;1;3.6;3.2;0.05;54.44;0;848;84.17;1;1;3;11;1;2;2;20240718;156;114.3;62.03;5.17;72.63;-1.435290895760279;0;2;0;1;20200101
4210;97;3;3;2;2;-999;2;4.2;3.5;-0.11;54.26;1;1017;80.9;1;1;3;11;2;3;2;20240924;157;114.3;64.35;6.78;79.63;-1.3006178289841093;23;2;0;1;20200101
4256;98;2;2;1;2;-999;1;3.9;3.2;0.01;54.02;1;1070;59.44;1;1;3;12;2;2;2;20240721;159;114.3;61.98;5.16;70.27;-1.111294822066885;0;2;0;1;20200101
4315;98;1;1;1;1;-999;1;3.6;3.0;-0.04;53.06;0;944;58.28;0;1;3;12;1;4;1;20240914;158;114.3;61.9;5.35;71.04;-1.273292858913582;0;2;0;1;20200101
4333;99;2;2;2;2;-999;2;4.1;3.4;0.09;53.95;1;935;59.39;0;1;3;13;1;4;2;20240916;161;114.3;61.93;5.06;70.66;-1.4157730599956178;0;2;0;1;20200101
4480;99;1;1;1;1;-999;1;3.3;2.8;-0.25;53.54;0;942;41.02;1;1;3;13;1;2;3;20240712;160;114.3;62.09;4.96;71.23;-1.2713410753371162;0;2;0;1;20200101
4481;166;2;2;1;1;1;4;4.28;4.12;0.5;54.08;0;-999;45.76;0;1;3;7;1;3;2;20240905;89;114.3;61.9;5.12;70.27;-1.230353620231325;0;-999;-999;-999;-999
4482;152;2;4;4;3;1;3;4.49;3.83;0.67;55.13;0;-999;28.12;0;1;4;6;2;3;2;20241102;52;114.3;71.99;5.65;83.02;0.3681571288945198;80;-999;-999;-999;-999
4484;139;3;1;3;4;2;4;3.74;3.59;0.1;54.76;0;-999;76.52;0;1;4;8;1;3;2;20241118;127;114.3;72.05;5.62;81.82;0.4598909569884339;84;-999;-999;-999;-999
4485;184;3;1;2;3;1;1;3.77;3.66;-0.18;53.89;0;-999;54.03;0;3;2;6;1;3;4;20240605;72;114.3;68.4;5.71;77.89;-0.17834227251602505;46;-999;-999;-999;-999
4487;128;1;3;2;2;1;1;3.82;2.82;0.23;53.86;0;-999;72.3;0;3;3;6;1;4;4;20240807;72;114.3;61.98;5.13;70.01;-1.5582532610776523;0;-999;-999;-999;-999
4488;165;4;2;3;3;3;2;4.02;4.4;-0.05;53.94;0;-999;77.19;0;1;4;6;1;3;2;20241121;55;114.3;71.91;5.48;81.23;0.4403731212237713;83;-999;-999;-999;-999
4489;122;4;1;2;3;1;1;4.19;4.0;0.39;54.48;0;-999;57.44;0;1;1;7;1;2;3;20240115;84;114.3;77.61;5.67;90.21;1.4299273944921504;131;-999;-999;-999;-999
4490;132;3;3;3;3;2;2;4.43;2.9;-0.05;53.82;0;-999;60.14;0;1;2;7;1;3;1;20240503;80;114.3;68.37;5.51;78.3;-0.34229209293918933;37;-999;-999;-999;-999
4491;173;4;3;4;4;1;1;4.56;4.06;0.12;54.65;0;-999;67.98;0;2;4;1;4;1;5;20241224;15;114.3;74.72;6.26;87.17;0.6823942847055833;105;-999;-999;-999;-999
4492;107;3;3;3;3;2;2;3.79;3.25;-0.48;53.43;0;-999;28.27;0;2;2;7;2;3;6;20240402;101;114.3;68.47;5.52;77.71;-0.24470291411587766;37;-999;-999;-999;-999
4493;195;2;4;4;3;2;2;2.36;3.23;0.4;53.76;0;-999;55.91;0;1;3;7;2;4;3;20240813;87;114.3;61.99;5.09;71.77;-1.1308126578315476;0;-999;-999;-999;-999
4494;177;1;2;3;3;2;3;3.5;3.23;0.19;54.68;0;-999;72.61;0;1;4;6;2;4;3;20241220;49;114.3;71.91;5.52;82.12;0.4579391734119667;81;-999;-999;-999;-999
4495;183;1;3;1;1;3;4;4.19;4.19;-0.37;55.21;0;-999;84.04;0;2;1;8;1;2;7;20240302;134;114.3;77.6;5.81;86.76;1.6758521251268967;130;-999;-999;-999;-999
4496;161;1;1;3;4;1;2;4.53;3.97;-0.27;54.55;0;-999;61.82;0;3;4;1;4;1;8;20241007;28;114.3;71.94;5.71;82.74;0.0968592117657132;86;-999;-999;-999;-999
4497;136;2;1;3;4;1;4;3.75;4.01;-0.34;54.83;0;-999;58.77;0;2;3;8;1;2;5;20240924;130;114.3;64.4;6.84;81.23;-1.267437508184183;18;-999;-999;-999;-999
4499;106;2;1;1;2;1;4;4.27;3.68;0.08;53.9;0;-999;52.36;0;1;2;6;1;4;1;20240416;46;114.3;68.35;5.66;79.09;-0.3793759808920473;43;-999;-999;-999;-999
4500;188;1;2;2;2;1;1;3.95;3.67;-0.51;53.64;0;-999;38.86;0;3;2;7;1;3;8;20240428;105;114.3;68.61;5.73;78.41;-0.1607762203278283;45;-999;-999;-999;-999
4501;172;4;3;4;4;3;1;4.06;4.18;0.2;54.29;0;-999;69.64;0;2;2;1;4;1;7;20240510;18;114.3;68.44;5.29;77.68;-0.04757277289278708;38;-999;-999;-999;-999
4502;104;3;4;4;3;4;4;3.21;3.56;-0.38;55.48;0;-999;66.39;0;2;4;6;1;4;5;20241007;58;114.3;72.07;5.65;81.87;0.23543584569481596;86;-999;-999;-999;-999
4504;147;2;3;3;3;1;4;4.31;4.1;-0.45;54.11;0;-999;35.17;0;1;3;8;2;3;3;20240724;120;114.3;61.79;5.11;70.73;-1.3552677691251642;0;-999;-999;-999;-999
4505;186;1;2;2;2;2;1;3.96;3.43;-0.15;54.22;0;-999;57.39;0;3;4;6;1;2;9;20241108;78;114.3;71.88;5.35;82.24;0.6843460682820505;79;-999;-999;-999;-999
4506;199;1;1;2;3;2;1;3.26;3.27;0.13;53.75;0;-999;50.04;0;3;4;7;1;3;4;20241220;108;114.3;72.08;5.58;82.4;0.4481802555296361;86;-999;-999;-999;-999
4507;102;4;3;3;3;1;4;4.16;3.27;0.12;54.44;0;-999;77.15;0;1;3;1;4;1;1;20240907;1;114.3;61.87;5.28;70.97;-1.1991250830078646;0;-999;-999;-999;-999
4508;114;1;3;3;2;2;1;4.55;3.27;0.29;54.41;0;-999;68.62;0;3;1;8;1;4;9;20240208;151;114.3;77.69;5.65;88.75;1.53922727477426;131;-999;-999;-999;-999
