ID_Animal;Local / Fazenda;Tabela de Origem;Variável Ausente (NaN);Ação do Sistema
4001;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4022;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4055;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4102;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4198;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4210;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4256;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4315;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4333;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4480;1.0;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9103;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9105;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9115;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9112;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9114;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9110;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9108;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9107;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9104;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9106;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9100;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9118;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9113;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9119;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9117;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9111;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9102;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9116;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9101;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9109;;Fenótipos (Geral);PE_cm;Substituído por -999 (Sinalizador de ausência para BLUPF90)
1;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
2;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
5;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
6;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
7;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
9;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
10;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3005;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3008;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3012;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3021;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3033;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
3044;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4481;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4482;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4484;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4485;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4487;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4488;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4489;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4490;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4491;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4492;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4493;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4494;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4495;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4496;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4497;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
