ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;ITU_Media;ITU_DP;ITU_Max
1;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-03-22;2;68.29;5.95;77.32
2;1;Verão;Pasto 10;Pasto;Panicum;Setor_1A;2024-02-26;38;77.82;5.63;85.97
3;1;Outono;Pasto 11;Pasto;Braquiária;Setor_1A;2024-06-11;41;68.98;5.43;75.8
4;1;Verão;Pasto 10;Pasto;Mombaça;Setor_1A;2024-03-14;39;77.71;5.34;84.87
5;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-02-05;1;77.8;5.89;88.79
6;1;Verão;Pasto 10;Pasto;Braquiária;Setor_1C;2024-02-13;40;77.07;5.67;85.62
7;1;Outono;Pasto 15;Pasto;Braquiária;Setor_1C;2024-04-25;43;68.64;5.72;75.12
8;1;Verão;Pasto 08;Pasto;Braquiária;Setor_1A;2024-03-16;37;77.22;5.52;85.24
9;1;Outono;Pasto 11;Pasto;Mombaça;Setor_1C;2024-04-28;42;68.25;6.09;77.42
10;1;Verão;Pasto 10;Pasto;Braquiária;Setor_1A;2024-01-10;38;77.58;5.42;86.03
3005;1;Primavera;Pasto A;Pasto;Panicum;Setor_1C;2024-11-08;52;71.98;6.27;81.69
3008;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1A;2024-12-19;46;71.49;5.63;80.24
3012;1;Verão;Pasto B;Pasto + Suplemento;Braquiária;Setor_1A;2024-02-19;81;77.22;6.09;85.71
3021;1;Verão;Pasto B;Pasto;Panicum;Setor_1C;2024-03-25;91;68.48;5.8;76.85
3033;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-06-27;121;61.99;4.96;68.35
3044;1;Outono;Pasto C;Pasto;Braquiária;Setor_1A;2024-05-08;118;68.18;5.66;76.36
4001;1;Inverno;Piquete F;Pasto;Mombaça;Setor_1A;2024-08-05;152;61.87;5.4;70.17
4022;1;Inverno;Piquete F;Pasto + Suplemento;Mombaça;Setor_1A;2024-09-17;153;61.57;5.06;69.59
4055;1;Inverno;Piquete G;Pasto;Mombaça;Setor_1C;2024-07-14;155;61.97;5.21;69.61
4102;1;Inverno;Piquete G;Pasto + Suplemento;Braquiária;Setor_1A;2024-08-09;154;62.11;5.25;69.62
4198;1;Inverno;Piquete H;Pasto;Panicum;Setor_1C;2024-07-18;156;61.71;5.2;69.61
4210;1;Inverno;Piquete H;Pasto + Suplemento;Braquiária;Setor_1C;2024-09-24;157;71.46;5.27;78.08
4256;1;Inverno;Piquete I;Pasto + Suplemento;Panicum;Setor_1C;2024-07-21;159;62.13;4.88;69.47
4315;1;Inverno;Piquete I;Pasto;Mombaça;Setor_1A;2024-09-14;158;61.76;5.6;69.91
4333;1;Inverno;Piquete J;Pasto;Mombaça;Setor_1C;2024-09-16;161;62.12;4.82;69.36
4480;1;Inverno;Piquete J;Pasto;Panicum;Setor_1B;2024-07-12;160;61.82;5.05;70.43
4481;1;Inverno;Pasto B;Pasto;Braquiária;Setor_1C;2024-09-05;89;62.16;5.44;70.27
4482;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1C;2024-11-02;52;72.29;5.55;80.99
4483;1;Primavera;Pasto C;Pasto;Braquiária;Setor_1C;2024-12-14;127;72.02;5.56;81.71
4484;1;Primavera;Pasto C;Pasto;Braquiária;Setor_1C;2024-11-18;127;72.05;5.57;79.35
4485;3;Outono;Pasto A;Pasto;Braquiária;Setor_3B;2024-06-05;72;68.08;5.42;77.89
4486;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-05-08;3;68.29;5.76;76.53
4487;3;Inverno;Pasto A;Pasto;Mombaça;Setor_3B;2024-08-07;72;61.83;5.48;70.01
4488;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1C;2024-11-21;55;71.71;5.73;78.79
4489;1;Verão;Pasto B;Pasto;Panicum;Setor_1B;2024-01-15;84;78.13;5.82;88.01
4490;1;Outono;Pasto B;Pasto;Braquiária;Setor_1A;2024-05-03;80;68.43;5.86;76.83
4491;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-12-24;15;77.57;5.71;87.17
4492;2;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_2C;2024-04-02;101;68.43;5.5;77.38
4493;1;Inverno;Pasto B;Pasto + Suplemento;Mombaça;Setor_1B;2024-08-13;87;61.95;5.43;69.77
